"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-08","Aug-1963","IDX","Index","0","Units",,,100.2097,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-09","Sep-1963","IDX","Index","0","Units",,,100.1818,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-10","Oct-1963","IDX","Index","0","Units",,,100.1674,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-11","Nov-1963","IDX","Index","0","Units",,,100.1638,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-12","Dec-1963","IDX","Index","0","Units",,,100.1864,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-01","Jan-1964","IDX","Index","0","Units",,,100.2527,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-02","Feb-1964","IDX","Index","0","Units",,,100.3527,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-03","Mar-1964","IDX","Index","0","Units",,,100.4626,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-04","Apr-1964","IDX","Index","0","Units",,,100.5693,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-05","May-1964","IDX","Index","0","Units",,,100.6628,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-06","Jun-1964","IDX","Index","0","Units",,,100.7418,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-07","Jul-1964","IDX","Index","0","Units",,,100.805,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-08","Aug-1964","IDX","Index","0","Units",,,100.8461,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-09","Sep-1964","IDX","Index","0","Units",,,100.8845,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-10","Oct-1964","IDX","Index","0","Units",,,100.9277,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-11","Nov-1964","IDX","Index","0","Units",,,100.9917,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-12","Dec-1964","IDX","Index","0","Units",,,101.0683,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-01","Jan-1965","IDX","Index","0","Units",,,101.1358,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-02","Feb-1965","IDX","Index","0","Units",,,101.1741,,
