"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-04","Apr-1966","IDX","Index","0","Units",,,101.4876,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-05","May-1966","IDX","Index","0","Units",,,101.1845,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-06","Jun-1966","IDX","Index","0","Units",,,100.8421,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-07","Jul-1966","IDX","Index","0","Units",,,100.4884,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-08","Aug-1966","IDX","Index","0","Units",,,100.1422,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-09","Sep-1966","IDX","Index","0","Units",,,99.81236,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-10","Oct-1966","IDX","Index","0","Units",,,99.49784,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-11","Nov-1966","IDX","Index","0","Units",,,99.21066,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-12","Dec-1966","IDX","Index","0","Units",,,98.96976,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-01","Jan-1967","IDX","Index","0","Units",,,98.79671,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-02","Feb-1967","IDX","Index","0","Units",,,98.70744,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-03","Mar-1967","IDX","Index","0","Units",,,98.73196,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-04","Apr-1967","IDX","Index","0","Units",,,98.87366,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-05","May-1967","IDX","Index","0","Units",,,99.11543,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-06","Jun-1967","IDX","Index","0","Units",,,99.4144,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-07","Jul-1967","IDX","Index","0","Units",,,99.73325,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-08","Aug-1967","IDX","Index","0","Units",,,100.0388,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-09","Sep-1967","IDX","Index","0","Units",,,100.3018,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-10","Oct-1967","IDX","Index","0","Units",,,100.5098,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-11","Nov-1967","IDX","Index","0","Units",,,100.6576,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-12","Dec-1967","IDX","Index","0","Units",,,100.7459,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-01","Jan-1968","IDX","Index","0","Units",,,100.7694,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-02","Feb-1968","IDX","Index","0","Units",,,100.7573,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-03","Mar-1968","IDX","Index","0","Units",,,100.7284,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-04","Apr-1968","IDX","Index","0","Units",,,100.7028,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-05","May-1968","IDX","Index","0","Units",,,100.7057,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-06","Jun-1968","IDX","Index","0","Units",,,100.7383,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-07","Jul-1968","IDX","Index","0","Units",,,100.8047,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-08","Aug-1968","IDX","Index","0","Units",,,100.9138,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-09","Sep-1968","IDX","Index","0","Units",,,101.0637,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-10","Oct-1968","IDX","Index","0","Units",,,101.2094,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-11","Nov-1968","IDX","Index","0","Units",,,101.3001,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-12","Dec-1968","IDX","Index","0","Units",,,101.318,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-01","Jan-1969","IDX","Index","0","Units",,,101.2689,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-02","Feb-1969","IDX","Index","0","Units",,,101.1612,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-03","Mar-1969","IDX","Index","0","Units",,,101.0028,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-04","Apr-1969","IDX","Index","0","Units",,,100.7907,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-05","May-1969","IDX","Index","0","Units",,,100.5313,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-06","Jun-1969","IDX","Index","0","Units",,,100.2647,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-07","Jul-1969","IDX","Index","0","Units",,,100.0238,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-08","Aug-1969","IDX","Index","0","Units",,,99.82079,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-09","Sep-1969","IDX","Index","0","Units",,,99.63843,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-10","Oct-1969","IDX","Index","0","Units",,,99.43999,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-11","Nov-1969","IDX","Index","0","Units",,,99.2035,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-12","Dec-1969","IDX","Index","0","Units",,,98.92173,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-01","Jan-1970","IDX","Index","0","Units",,,98.60574,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-02","Feb-1970","IDX","Index","0","Units",,,98.2934,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-03","Mar-1970","IDX","Index","0","Units",,,98.02338,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-04","Apr-1970","IDX","Index","0","Units",,,97.81294,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-05","May-1970","IDX","Index","0","Units",,,97.68542,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-06","Jun-1970","IDX","Index","0","Units",,,97.63496,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-07","Jul-1970","IDX","Index","0","Units",,,97.63834,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-08","Aug-1970","IDX","Index","0","Units",,,97.68867,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-09","Sep-1970","IDX","Index","0","Units",,,97.79994,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-10","Oct-1970","IDX","Index","0","Units",,,98.00113,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-11","Nov-1970","IDX","Index","0","Units",,,98.32687,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-12","Dec-1970","IDX","Index","0","Units",,,98.76554,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1971-01","Jan-1971","IDX","Index","0","Units",,,99.23495,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1971-02","Feb-1971","IDX","Index","0","Units",,,99.64551,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1971-03","Mar-1971","IDX","Index","0","Units",,,99.94601,,
